               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029498,            0.011841,                   0,             0.94371,             0.91525,             0.93389,             0.63372,            0.027417,           0.0070435,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.028502,            0.011144,                   0,             0.95376,             0.89831,             0.92981,             0.52859,             0.03318,           0.0070968,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028409,            0.010253,                   0,             0.94626,             0.89535,             0.93161,             0.59357,            0.028893,           0.0069524,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028643,            0.012056,                   0,             0.93038,             0.90602,             0.93162,             0.60019,             0.03081,           0.0070078,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027829,            0.010039,                   0,             0.96317,             0.88644,             0.92383,             0.61654,            0.028613,           0.0071408,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026897,            0.010655,                   0,             0.98181,             0.91507,             0.92741,             0.56848,            0.032249,            0.006993,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027562,            0.010444,                   0,             0.98127,             0.91525,             0.93169,             0.62794,            0.027871,           0.0068469,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027601,            0.010955,                   0,             0.96984,             0.91525,             0.93894,             0.54962,            0.032062,           0.0068278,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025856,             0.01054,                   0,             0.98145,              0.8969,             0.93836,             0.62068,            0.030374,           0.0067902,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.02646,           0.0097071,                   0,             0.94728,             0.91525,             0.94084,             0.58326,            0.027343,           0.0067468,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024859,             0.01017,                   0,             0.94203,             0.89831,             0.93475,             0.61405,            0.026783,           0.0067506,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025664,            0.010266,                   0,             0.96421,             0.91326,             0.93329,              0.5532,            0.031279,           0.0068965,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025443,            0.010415,                   0,             0.94608,             0.91525,             0.93929,             0.64365,            0.025611,           0.0066464,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025618,            0.010214,                   0,             0.94359,             0.91525,             0.93594,             0.59089,            0.028971,           0.0068013,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025558,           0.0094976,                   0,              0.9442,             0.91525,             0.93937,             0.64614,            0.025697,            0.006485,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024743,           0.0095417,                   0,             0.94444,             0.91525,             0.93595,             0.56278,            0.028776,           0.0068825,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025068,            0.010518,                   0,             0.96407,             0.90972,             0.94301,             0.64088,            0.026057,           0.0067175,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02358,           0.0091543,                   0,             0.94732,             0.91437,             0.94214,             0.55591,            0.030554,           0.0068398,                   0,            0.004654,            0.004654,            0.004654
